Identifier	MapMan	MapManDescription	Localization	GO	GODescription	Synonym
Cre01.g013550			Mitochondrion			
Cre01.g055448			Chloroplast			
Cre01.g000300			Mitochondrion			GDP8
Cre01.g001450						
Cre01.g034650						
Cre01.g053150	GMM:11.5.2	lipid metabolism.glycerol metabolism.glycerol-3-phosphate dehydrogenase (NAD+)		GO:0055114;GO:0051287;GO:0046168;GO:0016616;GO:0009331;GO:0006072;GO:0005975;GO:0004367	"oxidation-reduction process;NAD binding;glycerol-3-phosphate catabolic process;oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor;glycerol-3-phosphate dehydrogenase complex;glycerol-3-phosphate metabolic process;carbohydrate metabolic process;glycerol-3-phosphate dehydrogenase [NAD+] activity"	GPD3
Cre01.g010500						
Cre01.g047350			Chloroplast			
Cre01.g037800	GMM:21.1	redox.thioredoxin		GO:0045454	cell redox homeostasis	TRX21
Cre01.g004926						
Cre01.g070567				GO:0006351;GO:0005634;GO:0003899;GO:0003677	"transcription, DNA-templated;nucleus;DNA-directed RNA polymerase activity;DNA binding"	
Cre01.g054200						
Cre01.g034000	GMM:29.3.1	protein.targeting.nucleus	Secretory pathway	GO:0008536;GO:0006886	Ran GTPase binding;intracellular protein transport	IPB1
Cre01.g026600	GMM:29.5.11.3	protein.degradation.ubiquitin.E2				UBC11
Cre01.g053300	GMM:22.1.4	polyamine metabolism.synthesis.agmatine deiminase	Mitochondrion	GO:0009446;GO:0004668	putrescine biosynthetic process;protein-arginine deiminase activity	AIH1
Cre01.g011500	GMM:29.5.11.20	protein.degradation.ubiquitin.proteasom		GO:0005515	protein binding	RPN11
Cre01.g025300	GMM:28.2	DNA.repair	Secretory pathway	GO:0033063;GO:0006281;GO:0003677;GO:0000724	Rad51B-Rad51C-Rad51D-XRCC2 complex;DNA repair;DNA binding;double-strand break repair via homologous recombination	RAD51B
Cre01.g011450			Secretory pathway			
Cre01.g045825			Chloroplast			
Cre01.g041500	GMM:29.4.1;GMM:29.4	protein.postranslational modification.kinase;protein.postranslational modification				
Cre01.g035450						
Cre01.g049117						
Cre01.g016050	GMM:27.1.1	RNA.processing.splicing		GO:0030623;GO:0017070;GO:0005681;GO:0005515;GO:0003723;GO:0000398	"U5 snRNA binding;U6 snRNA binding;spliceosomal complex;protein binding;RNA binding;mRNA splicing, via spliceosome"	PRP8
Cre01.g027150	GMM:28.1;GMM:27.1	DNA.synthesis/chromatin structure;RNA.processing	Mitochondrion	GO:0005524;GO:0003676	ATP binding;nucleic acid binding	HEL5
Cre01.g038550	GMM:11.10.4	lipid metabolism.glycolipid synthesis.sulfolipid synthase	Chloroplast			SQD2
Cre01.g038100			Chloroplast			
Cre01.g050950	GMM:16.1.1	secondary metabolism.isoprenoids.non-mevalonate pathway	Chloroplast	GO:0071949	FAD binding	GGR1
Cre01.g023550				GO:0005515	protein binding	FAP234
Cre01.g043250						
Cre01.g064362	GMM:29.4	protein.postranslational modification		GO:0006468;GO:0005524;GO:0004672	protein phosphorylation;ATP binding;protein kinase activity	
Cre01.g040150	GMM:30.6;GMM:29.4.1;GMM:29.4	signalling.MAP kinases;protein.postranslational modification.kinase;protein.postranslational modification		GO:0006468;GO:0005524;GO:0004672	protein phosphorylation;ATP binding;protein kinase activity	
Cre01.g018950	GMM:29.2.4.1;GMM:29.2.3.1	protein.synthesis.elongation.deoxyhypusine synthase;protein.synthesis.initiation.deoxyhypusine synthase		GO:0008612	peptidyl-lysine modification to peptidyl-hypusine	DHS1
Cre01.g052500			Secretory pathway			
Cre01.g039450			Chloroplast			
Cre01.g030100	GMM:29.4	protein.postranslational modification	Mitochondrion	GO:0006468;GO:0004672	protein phosphorylation;protein kinase activity	PTK13
Cre01.g048400			Mitochondrion			
Cre01.g032139				GO:0005515	protein binding	
Cre01.g032400			Chloroplast	GO:0018193	peptidyl-amino acid modification	
Cre01.g005100			Secretory pathway			
Cre01.g024100			Mitochondrion			
Cre01.g044250						CAM4
Cre01.g007651				GO:0009982;GO:0009451;GO:0003723;GO:0001522	pseudouridine synthase activity;RNA modification;RNA binding;pseudouridine synthesis	PUS10
Cre01.g018600			Secretory pathway			
Cre01.g048550			Mitochondrion			
Cre01.g026850			Chloroplast			
Cre01.g055469				GO:0032259;GO:0008168	methylation;methyltransferase activity	
Cre01.g054750	GMM:29.4	protein.postranslational modification	Secretory pathway	GO:0006468;GO:0005524;GO:0004672	protein phosphorylation;ATP binding;protein kinase activity	
Cre01.g019450	GMM:29.5.11.3	protein.degradation.ubiquitin.E2		GO:0019789	SUMO transferase activity	
Cre01.g015650						
Cre01.g002050			Secretory pathway	GO:0003993	acid phosphatase activity	APT1
Cre01.g049300			Mitochondrion			
Cre01.g037300			Chloroplast			
Cre01.g050100	GMM:13.1.3.5.5	amino acid metabolism.synthesis.aspartate family.lysine.diaminopimelate decarboxylase	Chloroplast	GO:0003824	catalytic activity	DPD1
Cre01.g020350	GMM:8.1.7	TCA / organic transformation.TCA.succinate dehydrogenase	Mitochondrion	GO:0016627	"oxidoreductase activity, acting on the CH-CH group of donors"	SDH3
Cre01.g036200			Mitochondrion	GO:0005515;GO:0003824	protein binding;catalytic activity	
Cre01.g040500			Chloroplast			
Cre01.g000400			Secretory pathway			AXL3
Cre01.g023600	GMM:26.11.1;GMM:26.11	misc.alcohol dehydrogenases.cinnamyl alcohol dehydrogenase;misc.alcohol dehydrogenases		GO:0050662;GO:0003824	coenzyme binding;catalytic activity	
Cre01.g040050	GMM:18.2.1;GMM:18	Co-factor and vitamine metabolism.thiamine.thiamine diphosphokinase;Co-factor and vitamine metabolism		GO:0030975;GO:0009229;GO:0005524;GO:0004788	thiamine binding;thiamine diphosphate biosynthetic process;ATP binding;thiamine diphosphokinase activity	TPK1
Cre01.g006202						CSB4
Cre01.g031500	GMM:21.2.1;GMM:16.1	redox.ascorbate and glutathione.ascorbate;secondary metabolism.isoprenoids	Secretory pathway	GO:0055114;GO:0016491;GO:0005507	oxidation-reduction process;oxidoreductase activity;copper ion binding	
Cre01.g008000				GO:0003723	RNA binding	
Cre01.g042450	GMM:29.5.5	protein.degradation.serine protease				
Cre01.g006500	GMM:27.3.63	RNA.regulation of transcription.PHD finger transcription factor				
Cre01.g040600			Mitochondrion			FAP327
Cre01.g013769						
Cre01.g003500	GMM:28.2	DNA.repair				MSH2
Cre01.g025000						SSA12
Cre01.g065092			Mitochondrion			
Cre01.g034875			Chloroplast			
Cre01.g018184						
Cre01.g022283						
Cre01.g042650				GO:0005509	calcium ion binding	
Cre01.g014100						
Cre01.g055420	GMM:29.4	protein.postranslational modification		GO:0008601;GO:0000159	protein phosphatase type 2A regulator activity;protein phosphatase type 2A complex	
Cre01.g008550	GMM:29.4	protein.postranslational modification		GO:0006468;GO:0004672	protein phosphorylation;protein kinase activity	
Cre01.g007350	GMM:29.5.11.4.2	protein.degradation.ubiquitin.E3.RING				MOT42
Cre01.g053550			Secretory pathway			
Cre01.g037900			Secretory pathway			
Cre01.g048000						
Cre01.g036900	GMM:30.6;GMM:29.4.1;GMM:29.4	signalling.MAP kinases;protein.postranslational modification.kinase;protein.postranslational modification	Secretory pathway	GO:0006468;GO:0005524;GO:0004672	protein phosphorylation;ATP binding;protein kinase activity	
Cre01.g001678	GMM:29.4	protein.postranslational modification		GO:0006468;GO:0004672	protein phosphorylation;protein kinase activity	
Cre01.g055966						
Cre01.g014250			Mitochondrion			OPR2
Cre01.g041150						
Cre01.g043400						
Cre01.g035650						
Cre01.g024251	GMM:27.1.2	RNA.processing.RNA helicase	Chloroplast	GO:0005524;GO:0004386;GO:0003676	ATP binding;helicase activity;nucleic acid binding	
Cre01.g033516				GO:0008152;GO:0003824	metabolic process;catalytic activity	
Cre01.g020918	GMM:29.5.7;GMM:29.5	protein.degradation.metalloprotease;protein.degradation	Chloroplast	GO:0006508	proteolysis	PREP1
Cre01.g028777						
Cre01.g022950	GMM:29.5.11.5	protein.degradation.ubiquitin.ubiquitin protease		GO:0005515	protein binding	
Cre01.g001150	GMM:29.4.1	protein.postranslational modification.kinase				
Cre01.g032050	GMM:34.11	transport.NDP-sugars at the ER	Secretory pathway	GO:0016021;GO:0016020	integral component of membrane;membrane	
Cre01.g031200				GO:0030942;GO:0008312;GO:0006614	endoplasmic reticulum signal peptide binding;7S RNA binding;SRP-dependent cotranslational protein targeting to membrane	SRP14
Cre01.g004450			Chloroplast			CPLD42
Cre01.g052750			Secretory pathway			
Cre01.g009765			Chloroplast			
Cre01.g030550	GMM:29.5.11	protein.degradation.ubiquitin				
Cre01.g003300			Secretory pathway	GO:0006865	amino acid transport	
Cre01.g013000			Secretory pathway			
Cre01.g003487						
Cre01.g005550	GMM:29.4;GMM:29.3.4.99	protein.postranslational modification;protein.targeting.secretory pathway.unspecified		GO:0007264;GO:0005525	small GTPase mediated signal transduction;GTP binding	ARL4
Cre01.g039950	GMM:33.99	development.unspecified	Mitochondrion			MFT32
Cre01.g033150						
Cre01.g016400						
Cre01.g020000			Chloroplast			
Cre01.g000017						
Cre01.g028400			Mitochondrion			DDC1
Cre01.g029850	GMM:29.4	protein.postranslational modification	Chloroplast	GO:0006468;GO:0005524;GO:0004674;GO:0004672	protein phosphorylation;ATP binding;protein serine/threonine kinase activity;protein kinase activity	
Cre01.g051625						
Cre01.g042800	GMM:19.13	tetrapyrrole synthesis.divinyl chlorophyllide-a 8-vinyl-reductase	Chloroplast			DVR1
Cre01.g002787				GO:0016020;GO:0005975;GO:0005044;GO:0004553	"membrane;carbohydrate metabolic process;scavenger receptor activity;hydrolase activity, hydrolyzing O-glycosyl compounds"	SRR24A
Cre01.g005900	GMM:29.5.11.4.3.2	protein.degradation.ubiquitin.E3.SCF.FBOX	Chloroplast	GO:0005515	protein binding	
Cre01.g010880	GMM:31.6.1.11	cell.motility.eukaryotes.other		GO:0005515	protein binding	
Cre01.g023150	GMM:28.1	DNA.synthesis/chromatin structure		GO:0006260;GO:0005524;GO:0003677	DNA replication;ATP binding;DNA binding	MCM5
Cre01.g009325						
Cre01.g009000			Chloroplast			
Cre01.g000550			Secretory pathway			
Cre01.g046324						
Cre01.g047300						
Cre01.g002250	GMM:27.3.54;GMM:26.24	RNA.regulation of transcription.histone acetyltransferases;misc.GCN5-related N-acetyltransferase	Chloroplast	GO:0008080	N-acetyltransferase activity	
Cre01.g021400						
Cre01.g011750						
Cre01.g043901						
Cre01.g032200			Mitochondrion			
Cre01.g033250			Mitochondrion			
Cre01.g055000			Mitochondrion	GO:0016787	hydrolase activity	
Cre01.g016450	GMM:27.3.69	RNA.regulation of transcription.SET-domain transcriptional regulator family		GO:0005515	protein binding	
Cre01.g028423	GMM:27.3.99;GMM:16.4.1;GMM:13.2.6.2	RNA.regulation of transcription.unclassified;secondary metabolism.N misc.alkaloid-like;amino acid metabolism.degradation.aromatic aa.tyrosine		GO:0030170;GO:0019752;GO:0016831	pyridoxal phosphate binding;carboxylic acid metabolic process;carboxy-lyase activity	DDC1
Cre01.g001671			Mitochondrion			
Cre01.g017951			Chloroplast	GO:0005515	protein binding	
Cre01.g047650			Secretory pathway			
Cre01.g020650			Chloroplast			
Cre01.g028650			Secretory pathway			
Cre01.g044300			Mitochondrion			
Cre01.g050316	GMM:29.2.1.1.1.2.3	protein.synthesis.ribosomal protein.prokaryotic.chloroplast.50S subunit.L3		GO:0006412;GO:0005840;GO:0005622;GO:0003735	translation;ribosome;intracellular;structural constituent of ribosome	
Cre01.g029600	GMM:33.99;GMM:30.3	development.unspecified;signalling.calcium	Chloroplast			
Cre01.g004200						
Cre01.g002201						
Cre01.g045752						
Cre01.g033071						
Cre01.g012600	GMM:4.1.2	glycolysis.cytosolic branch.phosphoglucomutase (PGM)	Chloroplast	GO:0071704;GO:0016868;GO:0005975	"organic substance metabolic process;intramolecular transferase activity, phosphotransferases;carbohydrate metabolic process"	GPM2
Cre01.g001950			Secretory pathway			
Cre01.g006250	GMM:27.3.63	RNA.regulation of transcription.PHD finger transcription factor				
Cre01.g024900	GMM:27.4	RNA.RNA binding		GO:0017069;GO:0003676;GO:0000398	"snRNA binding;nucleic acid binding;mRNA splicing, via spliceosome"	
Cre01.g032300	GMM:28.99	DNA.unspecified		GO:0003676	nucleic acid binding	GBP1
Cre01.g049200						
Cre01.g003463	GMM:28.2	DNA.repair		GO:0030983;GO:0006298;GO:0005524	mismatched DNA binding;mismatch repair;ATP binding	
Cre01.g009150			Secretory pathway			
Cre01.g012550						
Cre01.g055440						CSR8
Cre01.g019750	GMM:17.3.3	hormone metabolism.brassinosteroid.induced-regulated-responsive-activated		GO:0006265;GO:0005524;GO:0003918;GO:0003677	DNA topological change;ATP binding;DNA topoisomerase type II (ATP-hydrolyzing) activity;DNA binding	
Cre01.g005126						CSB3
Cre01.g027500			Chloroplast	GO:0005515	protein binding	
Cre01.g016800				GO:0016567;GO:0004842	protein ubiquitination;ubiquitin-protein transferase activity	
Cre01.g035550	GMM:28.2	DNA.repair	Mitochondrion			
Cre01.g045000			Secretory pathway			PRL9
Cre01.g035350	GMM:11.8.7	"lipid metabolism.exotics (steroids, squalene etc).trans-2-enoyl-CoA reductase (NADPH)"		GO:0055114;GO:0016491;GO:0008270	oxidation-reduction process;oxidoreductase activity;zinc ion binding	
Cre01.g037400	GMM:31.3.1;GMM:29.6.3.2	cell.cycle.peptidylprolyl isomerase;protein.folding.immunophilins (IMM).cyclophilins		GO:0006457;GO:0003755;GO:0000413	protein folding;peptidyl-prolyl cis-trans isomerase activity;protein peptidyl-prolyl isomerization	CYN19-1
Cre01.g023250						
Cre01.g039600			Mitochondrion			
Cre01.g026950			Secretory pathway			
Cre01.g006050						LF3
Cre01.g005400	GMM:26.22	misc.short chain dehydrogenase/reductase (SDR)				
Cre01.g000150	GMM:34.12	transport.metal	Chloroplast	GO:0055085;GO:0046873;GO:0030001;GO:0016020	transmembrane transport;metal ion transmembrane transporter activity;metal ion transport;membrane	ZRT2
Cre01.g003000						
Cre01.g033000						FAP334
Cre01.g031900	GMM:35.1.1;GMM:34.16	not assigned.no ontology.ABC1 family protein;transport.ABC transporters and multidrug resistance systems	Secretory pathway			
Cre01.g019100	GMM:26.1;GMM:13.2.5.2;GMM:13.1.5.1.1	misc.misc2;amino acid metabolism.degradation.serine-glycine-cysteine group.glycine;amino acid metabolism.synthesis.serine-glycine-cysteine group.serine.phosphoglycerate dehydrogenase		GO:0055114;GO:0051287;GO:0016616;GO:0008152	"oxidation-reduction process;NAD binding;oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor;metabolic process"	
Cre01.g019900			Mitochondrion			FAP384
Cre01.g023450			Chloroplast			
Cre01.g035800				GO:0016021;GO:0006813;GO:0005242	integral component of membrane;potassium ion transport;inward rectifier potassium channel activity	IRK2
Cre01.g053500	GMM:16.1.1	secondary metabolism.isoprenoids.non-mevalonate pathway		GO:0003824	catalytic activity	
Cre01.g027050						
Cre01.g049826			Chloroplast			PHC59
Cre01.g053250	GMM:33.99	development.unspecified	Mitochondrion	GO:0006355	"regulation of transcription, DNA-templated"	
Cre01.g070202						
Cre01.g022600			Secretory pathway	GO:0016021;GO:0008146	integral component of membrane;sulfotransferase activity	CGL13
Cre01.g029250	GMM:13.1.6.4	amino acid metabolism.synthesis.aromatic aa.tyrosine	Mitochondrion	GO:0055114;GO:0016714;GO:0009072;GO:0005506;GO:0004497	"oxidation-reduction process;oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced pteridine as one donor, and incorporation of one atom of oxygen;aromatic amino acid family metabolic process;iron ion binding;monooxygenase activity"	AAH1
Cre01.g032700			Chloroplast	GO:0051156;GO:0006096;GO:0005524;GO:0004340	glucose 6-phosphate metabolic process;glycolytic process;ATP binding;glucokinase activity	GLK1
Cre01.g051137						
Cre01.g034100	GMM:29.5.7;GMM:29.5	protein.degradation.metalloprotease;protein.degradation	Chloroplast			
Cre01.g008800			Secretory pathway			
Cre01.g034400	GMM:7.1.2	OPP.oxidative PP.6-phosphogluconolactonase	Chloroplast	GO:0005975	carbohydrate metabolic process	PGL1
Cre01.g001550	GMM:29.2.3	protein.synthesis.initiation	Chloroplast	GO:0006413;GO:0003743	translational initiation;translation initiation factor activity	TIF3
Cre01.g042050	GMM:29.4;GMM:27.3.67	protein.postranslational modification;RNA.regulation of transcription.putative transcription regulator	Chloroplast	GO:0055114;GO:0033743;GO:0030091;GO:0016671;GO:0006979	"oxidation-reduction process;peptide-methionine (R)-S-oxide reductase activity;protein repair;oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor;response to oxidative stress"	
Cre01.g003450			Chloroplast			
Cre01.g055412						
Cre01.g012900	GMM:29.2.4;GMM:13.99	protein.synthesis.elongation;amino acid metabolism.misc	Mitochondrion			
Cre01.g041426						
Cre01.g005651						
Cre01.g034550						FAP109
Cre01.g051900	GMM:9.5	mitochondrial electron transport / ATP synthesis.cytochrome c reductase	Mitochondrion	GO:0055114;GO:0051537;GO:0016679;GO:0016491;GO:0008121	"oxidation-reduction process;2 iron, 2 sulfur cluster binding;oxidoreductase activity, acting on diphenols and related substances as donors;oxidoreductase activity;ubiquinol-cytochrome-c reductase activity"	RIP1
Cre01.g015750			Mitochondrion			
Cre01.g024000			Mitochondrion			
Cre01.g060712	GMM:29.5.11.4.2	protein.degradation.ubiquitin.E3.RING	Mitochondrion	GO:0016567;GO:0004842	protein ubiquitination;ubiquitin-protein transferase activity	
Cre01.g027764	GMM:34.99;GMM:34.16	transport.misc;transport.ABC transporters and multidrug resistance systems	Chloroplast	GO:0055085;GO:0016020;GO:0015297;GO:0015238;GO:0006855	transmembrane transport;membrane;antiporter activity;drug transmembrane transporter activity;drug transmembrane transport	
Cre01.g054600						
Cre01.g046052	GMM:29.4	protein.postranslational modification	Secretory pathway	GO:0006468;GO:0005524;GO:0004672	protein phosphorylation;ATP binding;protein kinase activity	
Cre01.g026400	GMM:34.7	transport.phosphate	Secretory pathway	GO:0016021	integral component of membrane	EXS
Cre01.g007550			Secretory pathway			
Cre01.g007100			Secretory pathway			
Cre01.g013150			Chloroplast			CGLD35
Cre01.g068012			Mitochondrion			PPR5
Cre01.g031700						
Cre01.g049500	GMM:9.7	mitochondrial electron transport / ATP synthesis.cytochrome c oxidase		GO:0016020;GO:0005507;GO:0004129	membrane;copper ion binding;cytochrome-c oxidase activity	COX2B
Cre01.g043500				GO:0034227;GO:0002098;GO:0000049	tRNA thio-modification;tRNA wobble uridine modification;tRNA binding	
Cre01.g008700						
Cre01.g022400			Secretory pathway			
Cre01.g017550			Secretory pathway	GO:0005515	protein binding	
Cre01.g055316			Secretory pathway			
Cre01.g047218			Chloroplast			
Cre01.g035900						
Cre01.g013700	GMM:34.2;GMM:34.18	transport.sugars;transport.unspecified anions		GO:0055085;GO:0005741	transmembrane transport;mitochondrial outer membrane	VDAC1
Cre01.g014650	GMM:26.7	"misc.oxidases - copper, flavone etc"	Mitochondrion	GO:0055114;GO:0016491	oxidation-reduction process;oxidoreductase activity	PFH5
Cre01.g044600	GMM:30.3;GMM:3.3	signalling.calcium;minor CHO metabolism.sugar alcohols				
Cre01.g016651						
Cre01.g028101			Mitochondrion			
Cre01.g006642			Chloroplast			
Cre01.g000850			Chloroplast			CPLD38
Cre01.g040701			Secretory pathway			
Cre01.g025650			Secretory pathway			
Cre01.g036800	GMM:31.1	cell.organisation		GO:0008017;GO:0007018;GO:0005871;GO:0005524;GO:0003777	microtubule binding;microtubule-based movement;kinesin complex;ATP binding;microtubule motor activity	KIN9-1
Cre01.g050608						
Cre01.g040850						
Cre01.g032750			Chloroplast			
Cre01.g046150	GMM:29.5.7	protein.degradation.metalloprotease	Chloroplast	GO:0030145;GO:0004177	manganese ion binding;aminopeptidase activity	
Cre01.g030850	GMM:29.5.11.20;GMM:29.5	protein.degradation.ubiquitin.proteasom;protein.degradation		GO:0051603;GO:0019773;GO:0006511;GO:0005839;GO:0004298;GO:0004175	"proteolysis involved in cellular protein catabolic process;proteasome core complex, alpha-subunit complex;ubiquitin-dependent protein catabolic process;proteasome core complex;threonine-type endopeptidase activity;endopeptidase activity"	POA4
Cre01.g010650			Secretory pathway			
Cre01.g011250						
Cre01.g006850						
Cre01.g025850	GMM:3.4.4	minor CHO metabolism.myo-inositol.myo-inositol oxygenases	Mitochondrion	GO:0055114;GO:0050113;GO:0019310;GO:0005737;GO:0005506	oxidation-reduction process;inositol oxygenase activity;inositol catabolic process;cytoplasm;iron ion binding	INO
Cre01.g010201			Secretory pathway			
Cre01.g047200			Chloroplast			
Cre01.g051800	GMM:13.1.6.2	amino acid metabolism.synthesis.aromatic aa.phenylalanine and tyrosine	Chloroplast	GO:0030170;GO:0009058	pyridoxal phosphate binding;biosynthetic process	AST2
Cre01.g052850	GMM:31.3;GMM:30.6	cell.cycle;signalling.MAP kinases		GO:0006468;GO:0004672	protein phosphorylation;protein kinase activity	
Cre01.g058156						
Cre01.g038300			Mitochondrion	GO:0006355;GO:0005739;GO:0003690	"regulation of transcription, DNA-templated;mitochondrion;double-stranded DNA binding"	
Cre01.g054100	GMM:30.2.11	signalling.receptor kinases.leucine rich repeat XI	Mitochondrion	GO:0005515	protein binding	
Cre01.g031400						
Cre01.g055550	GMM:9.7;GMM:29.8	mitochondrial electron transport / ATP synthesis.cytochrome c oxidase;protein.assembly and cofactor ligation	Mitochondrion	GO:0005507	copper ion binding	COX11
Cre01.g044100	GMM:2.2.2.1.2;GMM:2.2.2.1	major CHO metabolism.degradation.starch.starch cleavage.beta amylase;major CHO metabolism.degradation.starch.starch cleavage		GO:0016161;GO:0000272	beta-amylase activity;polysaccharide catabolic process	AMB3
Cre01.g009550	GMM:26.24	misc.GCN5-related N-acetyltransferase	Mitochondrion	GO:0008080	N-acetyltransferase activity	
Cre01.g029350				GO:0022900;GO:0016651	"electron transport chain;oxidoreductase activity, acting on NAD(P)H"	FAP297
Cre01.g023900			Mitochondrion			
Cre01.g006576			Mitochondrion			
Cre01.g019600			Chloroplast			
Cre01.g038600	GMM:11.2.3	lipid metabolism.FA desaturation.omega 3 desaturase	Chloroplast	GO:0055114;GO:0016717;GO:0006629	"oxidation-reduction process;oxidoreductase activity, acting on paired donors, with oxidation of a pair of donors resulting in the reduction of molecular oxygen to two molecules of water;lipid metabolic process"	FAD7
Cre01.g055477			Mitochondrion			
Cre01.g012700	GMM:34.15	transport.potassium		GO:0055085;GO:0016020;GO:0006811;GO:0005216	transmembrane transport;membrane;ion transport;ion channel activity	KCN6
Cre01.g067647			Chloroplast			
Cre01.g010350	GMM:18.11;GMM:18;GMM:11.5	Co-factor and vitamine metabolism.lipoic acid;Co-factor and vitamine metabolism;lipid metabolism.glycerol metabolism	Secretory pathway	GO:0006464	cellular protein modification process	LIPB
Cre01.g020800			Mitochondrion			
Cre01.g008450				GO:0007067;GO:0000775	"mitotic nuclear division;chromosome, centromeric region"	
Cre01.g022250	GMM:29.2.1.1.1.2.3	protein.synthesis.ribosomal protein.prokaryotic.chloroplast.50S subunit.L3	Mitochondrion	GO:0006412;GO:0005840;GO:0005622;GO:0003735	translation;ribosome;intracellular;structural constituent of ribosome	MRPL3
Cre01.g009850						
Cre01.g001200	GMM:29.4	protein.postranslational modification		GO:0006468;GO:0004672	protein phosphorylation;protein kinase activity	MAPKKK14
Cre01.g045903	GMM:11.4	lipid metabolism.TAG synthesis	Chloroplast	GO:0019432;GO:0008374;GO:0004144	triglyceride biosynthetic process;O-acyltransferase activity;diacylglycerol O-acyltransferase activity	DGAT1
Cre01.g024800	GMM:30.6;GMM:29.4	signalling.MAP kinases;protein.postranslational modification	Secretory pathway	GO:0006468;GO:0004672	protein phosphorylation;protein kinase activity	
Cre01.g050300						
Cre01.g034150				GO:0016021;GO:0015299;GO:0006812	integral component of membrane;solute:proton antiporter activity;cation transport	
Cre01.g042550			Secretory pathway	GO:0072546	ER membrane protein complex	
Cre01.g047229						
Cre01.g011150	GMM:27.3.6	RNA.regulation of transcription.basic helix-loop-helix family (bHLH)		GO:0046983	protein dimerization activity	
Cre01.g002861	GMM:26.16	misc.myrosinases-lectin-jacalin				
Cre01.g014751			Chloroplast			
Cre01.g012100			Secretory pathway	GO:0008484;GO:0008152	sulfuric ester hydrolase activity;metabolic process	ARS4
Cre01.g036500			Secretory pathway;Chloroplast			
Cre01.g007901	GMM:34.99	transport.misc	Mitochondrion;Secretory pathway	GO:0055085;GO:0016020;GO:0015297;GO:0015238;GO:0006855	transmembrane transport;membrane;antiporter activity;drug transmembrane transporter activity;drug transmembrane transport	
Cre01.g024350	GMM:28.99	DNA.unspecified	Secretory pathway	GO:0016021	integral component of membrane	
Cre01.g065457						
Cre01.g015300			Mitochondrion	GO:0055114	oxidation-reduction process	
Cre01.g004600	GMM:27.3.67	RNA.regulation of transcription.putative transcription regulator				RWP12
Cre01.g025200	GMM:29.5.7	protein.degradation.metalloprotease	Secretory pathway			MMP4
Cre01.g038376						
Cre01.g009250	GMM:28.1	DNA.synthesis/chromatin structure		GO:0006265;GO:0005524;GO:0003918;GO:0003677	DNA topological change;ATP binding;DNA topoisomerase type II (ATP-hydrolyzing) activity;DNA binding	TOP2
Cre01.g013900			Mitochondrion			
Cre01.g021750				GO:0006355	"regulation of transcription, DNA-templated"	
Cre01.g004850			Mitochondrion	GO:0016787;GO:0006351;GO:0005634;GO:0005524;GO:0003677	"hydrolase activity;transcription, DNA-templated;nucleus;ATP binding;DNA binding"	TXE1
Cre01.g021300			Secretory pathway			
Cre01.g050750						
Cre01.g030250	GMM:23.2	nucleotide metabolism.degradation	Mitochondrion	GO:0046854	phosphatidylinositol phosphorylation	
Cre01.g021600	GMM:27.1.2	RNA.processing.RNA helicase		GO:0005524;GO:0005515;GO:0003676	ATP binding;protein binding;nucleic acid binding	HEL1
Cre01.g048600			Mitochondrion			
Cre01.g066552	GMM:21.1	redox.thioredoxin	Chloroplast	GO:0045454;GO:0015035;GO:0006662	cell redox homeostasis;protein disulfide oxidoreductase activity;glycerol ether metabolic process	
Cre01.g026650	GMM:18.1;GMM:18	Co-factor and vitamine metabolism.molybdenum cofactor;Co-factor and vitamine metabolism	Secretory pathway			
Cre01.g050400	GMM:29.3.2	protein.targeting.mitochondria	Chloroplast			TIM22C
Cre01.g005500						
Cre01.g002350	GMM:29.5.11.2;GMM:17.2.2	protein.degradation.ubiquitin.E1;hormone metabolism.auxin.signal transduction		GO:0008641	small protein activating enzyme activity	
Cre01.g035250	GMM:22.1.5	polyamine metabolism.synthesis.N-carbamoylputrescine amidohydrolase	Mitochondrion			
Cre01.g023100	GMM:27.3.3;GMM:17.5.2	"RNA.regulation of transcription.AP2/EREBP, APETALA2/ethylene-responsive element binding protein family;hormone metabolism.ethylene.signal transduction"		GO:0006355;GO:0003700	"regulation of transcription, DNA-templated;transcription factor activity, sequence-specific DNA binding"	
Cre01.g041256	GMM:29.5.7	protein.degradation.metalloprotease	Mitochondrion			
Cre01.g039500	GMM:33.99;GMM:3.5	development.unspecified;minor CHO metabolism.others		GO:0005515	protein binding	FAP89
Cre01.g043050			Mitochondrion	GO:0016021	integral component of membrane	SNR2
Cre01.g007050			Chloroplast			CPLD11
Cre01.g020500			Secretory pathway			
Cre01.g026016						
Cre01.g025900	GMM:31.2;GMM:20.2.5	cell.division;stress.abiotic.light				
Cre01.g042850	GMM:21.2	redox.ascorbate and glutathione	Secretory pathway			
Cre01.g014350	GMM:21.5	redox.peroxiredoxin	Chloroplast	GO:0055114;GO:0016491;GO:0016209	oxidation-reduction process;oxidoreductase activity;antioxidant activity	PRX5
Cre01.g041351						
Cre01.g023913						
